Subscription,Platform,Age,Monthly_Spend
Basic,Tablet,50,50.13
Premium,Desktop,18,66.54
Basic,Tablet,36,50.99
Basic,Tablet,19,29.2
Basic,Mobile,61,67.52
Premium,Tablet,43,82.16
Basic,Mobile,49,58.41
Basic,Mobile,23,45.58
Basic,Mobile,49,53.07
Premium,Desktop,21,60.93
Basic,Mobile,28,35.15
Basic,Mobile,34,39.72
Basic,Tablet,55,58.11
Basic,Mobile,41,50.41
Premium,Desktop,22,66.78
Basic,Mobile,69,72.44
Premium,Mobile,51,85.77
Premium,Tablet,23,73.37
Premium,Mobile,39,75.98
Basic,Tablet,28,53.2
Premium,Desktop,65,98.63
Basic,Mobile,33,38.81
Premium,Mobile,50,79.65
Premium,Tablet,26,70.61
Premium,Desktop,23,64.98
Premium,Desktop,33,76.67
Premium,Desktop,46,84.57
Premium,Mobile,20,63.64
Premium,Desktop,37,71.67
Premium,Mobile,53,79.53
Basic,Tablet,36,42.97
Basic,Desktop,43,54.38
Premium,Desktop,20,65.07
Premium,Mobile,36,68.97
Premium,Desktop,37,76.77
Basic,Mobile,49,56.23
Premium,Desktop,24,62.38
Basic,Desktop,69,69.07
Basic,Tablet,58,60.89
Basic,Mobile,50,49.29
Basic,Mobile,57,61.69
Basic,Desktop,56,62.0
Premium,Desktop,35,79.92
Premium,Desktop,57,95.17
Premium,Desktop,18,55.71
Premium,Desktop,28,64.91
Premium,Desktop,45,84.08
Basic,Mobile,42,51.97
Premium,Mobile,67,99.48
Premium,Mobile,40,97.26
Basic,Mobile,48,56.45
Premium,Desktop,47,88.58
Basic,Mobile,59,66.07
Premium,Desktop,52,89.66
Basic,Tablet,24,35.22
Premium,Desktop,33,76.89
Premium,Desktop,43,76.24
Basic,Desktop,65,64.32
Basic,Mobile,69,65.87
Basic,Mobile,66,66.61
Basic,Mobile,19,44.87
Basic,Mobile,18,23.26
Basic,Tablet,65,68.93
Basic,Tablet,29,32.24
Basic,Desktop,22,33.04
Premium,Tablet,54,93.24
Premium,Tablet,49,84.62
Basic,Mobile,26,32.81
Premium,Tablet,58,87.02
Premium,Desktop,52,89.8
Premium,Tablet,36,71.55
Premium,Tablet,65,96.58
Basic,Mobile,33,43.33
Premium,Mobile,20,60.74
Basic,Mobile,37,56.62
Premium,Desktop,41,81.87
Premium,Tablet,50,74.87
Premium,Tablet,41,79.63
Basic,Mobile,69,64.99
Premium,Desktop,28,73.86
Basic,Mobile,66,62.24
Premium,Desktop,25,66.93
Basic,Mobile,53,59.62
Premium,Desktop,55,92.83
Basic,Tablet,57,53.9
Basic,Mobile,37,44.23
Premium,Desktop,52,84.03
Basic,Desktop,65,62.23
Premium,Desktop,42,88.23
Premium,Tablet,52,88.42
Premium,Tablet,42,73.1
Premium,Desktop,46,86.79
Premium,Desktop,35,85.11
Premium,Desktop,63,99.26
Premium,Desktop,35,66.9
Premium,Mobile,19,60.88
Premium,Desktop,52,92.73
Premium,Desktop,33,69.56
Premium,Mobile,58,92.82
Basic,Mobile,53,60.97
